external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,6H,external_precedes_target,1827,correlation+ols+logistic_probe,0.0007488769184367497,0.9215686274509803,0.9544439179584376,0.0040132326834879445,0.0040132326834879445,0.07742439992322488,,,,,,1.2084430167437579,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,12H,external_precedes_target,1827,correlation+ols+logistic_probe,0.0007488769184367497,0.8431372549019608,0.9022871931174373,0.0040132326834879445,0.0040132326834879445,0.07742439992322488,,,,,,1.2084430167437579,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,1D,external_precedes_target,1826,correlation+ols+logistic_probe,0.0007676077290105916,0.8235294117647058,0.8865747255840134,0.004113569644684281,0.004113569644684281,0.05853399913098027,,,,,,1.189525890265258,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,3D,external_precedes_target,1824,correlation+ols+logistic_probe,-0.0033715953283808115,0.35294117647058826,0.48055530835632293,-0.018069221971308898,-0.018069221971308898,0.06067061672128833,,,,,,1.0923418721250624,2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,count,7D,external_precedes_target,1820,correlation+ols+logistic_probe,-0.0057180236692876505,0.17647058823529413,0.2757352941176471,-0.03064589154124647,-0.03064589154124647,0.04470402193828188,,,,,,1.0966338763234968,2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,-0.05637009831092965,0.058823529411764705,0.10652148183216949,-0.05078119856772795,-0.05078119856772795,0.018131967123962044,0.5115417014946287,,,,,1.033942207375576,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,-0.0679658272951111,0.0196078431372549,0.04084967320261438,-0.06069621269086375,-0.06069621269086375,0.014056101489025955,0.5088118496890458,,,,,0.9919969755672892,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,-0.07689335587874911,0.0196078431372549,0.04084967320261438,-0.06816503015862667,-0.06816503015862667,0.02391315166825527,0.515405108614738,,,,,0.9945134512300349,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.07689335587874911,0.0196078431372549,0.04084967320261438,-0.06816503015862667,-0.06816503015862667,0.02391315166825527,0.515405108614738,,,,,0.9945134512300349,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.07689335587874911,0.0196078431372549,0.04084967320261438,-0.06816503015862667,-0.06816503015862667,0.02391315166825527,0.515405108614738,,,,,0.9945134512300349,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_南海トラフ巨大地震,気象庁_地震月報_カタログ編,m4_flag,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,-0.07689335587874911,0.0196078431372549,0.04084967320261438,-0.06816503015862667,-0.06816503015862667,0.02391315166825527,0.515405108614738,,,,,0.9945134512300349,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
